index,name,directory,heat,weight,colorfulness,saturation,brightness,pleasure,dominance,horizontal_intensity,vertical_intensity,dynamic_intensity,waveletLH,waveletLV,waveletLD,waveletAH,waveletAV,waveletAD,waveletBH,waveletBV,waveletBD,vertical_similarity,horizontal_similarity,ruleOfThirds,a,v
1,"Senecio, Paul Klee",database/painting/001.jpg,-0.015,0.2912,41.133205,0.558735,0.658739,0.577451,-0.321846,0.179741,0.287595,0.099303,-0.001481,0.002394,0.00009,0.001477,0.003237,-0.000087,-0.001475,0.003198,0.000085,0.98487,0.969959,0.96079,5.789333333,7.896666667
2,"L'Arlesienne, Portrait of Madame Ginoux, Gogh",database/painting/002.jpg,-1.149978,0.277445,43.623238,0.566009,0.521838,0.48459,-0.215474,0.236614,0.098545,0.048653,0.001225,-0.00181,-0.004091,-0.001194,-0.000757,0.003959,0.000606,-0.001514,-0.003595,0.970371,0.953271,0.957475,4.739333333,4.249
3,"Girl in front of Mirror, Piccaso",database/painting/003.jpg,-0.015,0.2912,21.553677,0.524444,0.415204,0.401868,-0.147733,2.120788,7.193663,1.89453,0.164116,-0.064902,-0.056969,0.05823,-0.063218,0.057208,-0.178711,-0.06761,-0.058048,0.979743,0.983252,0.979113,5.122666667,4.471333333
4,"The Large Bathers, Renoir",database/painting/004.jpg,-0.519004,-0.063151,14.270169,0.311047,0.623192,0.498433,-0.374091,0,0,0,-0.110506,-0.002848,0.002517,0.238961,-0.002758,-0.002059,-0.123574,-0.003015,0.001973,0.984348,0.982879,0.979428,4.839166667,5.8505
5,"Portrait of Marcelle, Lautrec",database/painting/005.jpg,-0.704657,0.005296,32.99012,0.428707,0.66668,0.554325,-0.36949,0.047031,0.514382,0.394106,-0.010396,0.00196,0.004868,0.011358,0.002208,-0.004836,-0.013303,0.002154,0.00579,0.969845,0.954362,0.959117,6.425333333,7.054
6,"April, Denis",database/painting/006.jpg,-0.015,0.2912,48.421623,0.488292,0.795306,0.656185,-0.448179,0.827902,0.101926,0,0,0.000636,0,0,0.000578,0,0,-0.001214,0,0.969219,0.949853,0.949347,6.655,7.6205
7,"The Kiss, Klimt",database/painting/007.jpg,-0.015,0.2912,46.936249,0.640681,0.581988,0.542521,-0.237292,0.03798,1.195712,0.0302,0.002895,0.038777,0.010385,0.001213,0.027659,-0.010877,-0.001569,0.032906,0.011435,0.984905,0.979612,0.971318,4.165,4.1345
8,"Vairumati, Paul Gauguin",database/painting/008.jpg,-0.015,0.2912,40.599663,0.706615,0.365519,0.407663,-0.051678,0,0.176149,0,-0.034967,0.007982,-0.008129,0.034864,0.007212,0.00823,-0.03483,0.009187,-0.01007,0.971955,0.984311,0.966384,2.386666667,3.949833333
9,"The Promenade, Woman with a Parasol, Claude Monet",database/painting/009.jpg,-1.060684,0.069416,9.420705,0.305849,0.509153,0.418602,-0.289084,0,0,0,-0.109788,0,0,0.230705,0,0,-0.120914,0,0,0.985897,0.96359,0.949783,5.137833333,2.272333333
10,"La Creation de l'homme, Marc Chagal",database/painting/010.jpg,1.237772,0.727806,24.48123,0.391073,0.591562,0.494214,-0.324444,0.100682,0.637232,0.596358,-0.003521,-0.003774,-0.001936,0.003522,-0.001165,0.001936,-0.003521,-0.00108,-0.001936,0.977958,0.951228,0.952597,5.69,5
11,"Deer, Marie Laurencin",database/painting/011.jpg,-1.060684,0.069416,0.400508,0.135009,0.557024,0.414048,-0.380135,0.088005,0.202036,0,0,0.000592,0,0,0.000537,0,0,-0.001129,0,0.964663,0.965327,0.955792,6.379166667,2.701333333
12,"Women Sonando Evasion, Joan Miro",database/painting/012.jpg,0.262921,1.570703,0.555007,0.065501,0.89115,0.629304,-0.656314,0.278541,0.566883,0.223345,-0.453371,-0.005098,0.00346,0.951291,-0.003798,-0.002761,-0.500024,-0.000106,0.002418,0.955569,0.961309,0.955006,6.180333333,3.613333333
13,"Portrait of Madame Cezanne, Paul Cezanne",database/painting/013.jpg,-0.015,0.2912,22.240864,0.493341,0.394197,0.380531,-0.141721,0,0,0,-0.002611,0.00294,-0.006132,0.002867,0.002886,0.006794,-0.00267,0.004205,-0.007136,0.977922,0.970538,0.966034,2.0575,3.59
14,"Woman with Blue eyes, Amedeo Modigliani",database/painting/014.jpg,-0.015,0.2912,5.135042,0.173208,0.401569,0.315189,-0.249766,0,0.272438,0,0.120743,0.012356,-0.001918,0.112007,0.012283,0.001834,-0.233849,0.012324,-0.001649,0.973478,0.949159,0.953151,5.873166667,2.279833333
15,"Woman with a Fan, Piccaso",database/painting/015.jpg,-0.37362,0.999012,33.137642,0.5884,0.46152,0.447897,-0.162467,0.096947,1.126662,0.106827,0.017482,-0.01064,0.000898,-0.018916,-0.015411,-0.000151,0.018788,-0.010007,-0.00043,0.984029,0.973659,0.971994,4.004,3.329833333
16,"Nude Descending a Staircase No 2., Marcel Duchamp",database/painting/016.jpg,-0.981024,-0.18702,23.641287,0.579138,0.43104,0.424828,-0.142266,0.178428,5.269643,2.564023,0.131462,0.019555,-0.012084,0.101017,0.018766,0.011869,-0.226269,0.018651,-0.012258,0.986882,0.983936,0.9832,5.3675,2.892666667
17,"Camille monet on a garden bench, Claude Monet",database/painting/017.jpg,-0.015,0.2912,17.921026,0.422602,0.430191,0.389804,-0.191712,0.480204,0,0,-0.00873,-0.015149,-0.004553,0.008377,-0.014881,0.004269,-0.008497,-0.013769,-0.003725,0.967432,0.964461,0.961751,5.796666667,2.073
18,"Jeune garcon au gilet rouge, Paul Cezanne",database/painting/018.jpg,-0.546162,0.80823,9.427035,0.384026,0.430358,0.381433,-0.204183,0.623597,0.611572,0.393231,0.001321,0.00934,0.000185,-0.001362,0.008124,-0.00021,0.00173,0.008012,-0.000168,0.969651,0.98136,0.968767,6.785333333,4.8315
19,"Young Girls at the Piano, Renoir",database/painting/019.jpg,-0.519004,-0.063151,18.522394,0.384963,0.500165,0.429806,-0.256937,0,0,0,-0.001818,0.000025,-0.000234,0.001964,0.00018,0.000757,-0.002125,0.000716,-0.001019,0.97544,0.975454,0.971773,4.417666667,3.981
20,"Torso, effect de soleil, Renoir",database/painting/020.jpg,0.037309,-1.364112,21.840538,0.50465,0.422643,0.402647,-0.15972,0,0,0,0.00667,-0.013946,-0.004046,-0.00604,-0.01067,0.005916,0.004358,-0.005798,-0.005961,0.982846,0.975236,0.968374,5.092,3.483
21,"Le Moulin de la Galette, Renoir",database/painting/021.jpg,-0.981024,-0.18702,7.75169,0.384944,0.38295,0.348923,-0.16786,0.079779,0.03467,0.035732,-0.003314,-0.007533,-0.0038,0.003209,-0.007063,0.00376,-0.002965,-0.007148,-0.004005,0.988002,0.981543,0.975793,4.2185,3.6665
22,"Two Sisters, Renoir",database/painting/022.jpg,-0.015,0.2912,12.806891,0.335045,0.535095,0.442925,-0.299458,0,0,0,-0.001292,0.003968,-0.006978,0.00169,0.004358,0.006957,-0.001462,0.00336,-0.006911,0.986378,0.978594,0.978267,4.663,4.893
23,"The potato eaters, Gogh",database/painting/023.jpg,1.16306,0.456419,6.499582,0.680751,0.142719,0.248241,0.109374,0,0.056111,0,0.0147,0.006085,0.005407,-0.014946,0.002927,-0.004283,0.015965,0.005943,0.00425,0.99416,0.984769,0.982541,5.161,4.693333333
24,"Pommes et oranges, Paul Cezanne",database/painting/024.jpg,-0.015,0.2912,17.533621,0.46292,0.495484,0.443726,-0.228433,0.051844,0.479753,0.1085,-0.158789,0.050584,-0.000002,0.323248,0.050545,0.000123,-0.188992,0.048872,0.00074,0.984047,0.975052,0.976739,3.904,3.130166667
25,"Flowers in a Rococo Vase, Cezanne",database/painting/025.jpg,0.826377,-0.416115,3.072418,0.202868,0.677229,0.511919,-0.449777,0,0,0,-0.10629,0,0,0.223354,0,0,-0.117062,0,0,0.977442,0.973203,0.970872,5.781666667,4.877666667
26,"Mixed Flowers in an Earthenware Pot, Renoir",database/painting/026.jpg,0.559625,2.125306,6.889992,0.37083,0.281048,0.275506,-0.094931,0,0,0,-0.013641,-0.009536,-0.019209,0.013676,-0.010133,0.020354,-0.014141,-0.014803,-0.020595,0.982548,0.971571,0.971402,5.651333333,5.099333333
27,"Roses in front of a blue curtain, Renoir",database/painting/027.jpg,-0.37362,0.999012,39.686306,0.610471,0.481745,0.466708,-0.170776,0.106419,0.430181,0.107887,0.164944,0.003729,0.005406,0.166394,0.003536,-0.005433,-0.341754,0.003791,0.005178,0.973403,0.986258,0.973687,1.391,4.1495
28,"Irises, Gogh",database/painting/028.jpg,-1.149978,0.277445,51.718033,0.603715,0.607772,0.55218,-0.268718,0.25894,1.56402,1.972696,0.032798,-0.02255,0.045165,0.272809,-0.01649,-0.046568,-0.441978,-0.017622,0.047004,0.986322,0.976478,0.971255,7.2605,5.068666667
29,"Vincent's Bedroom in Arles, Gogh ",database/painting/029.jpg,-0.704657,0.005296,32.800922,0.52698,0.530664,0.482093,-0.234671,0.795534,1.807077,0,-0.015474,-0.020819,0.003552,0.016573,-0.018397,-0.003459,-0.01567,-0.016365,0.00351,0.977394,0.957936,0.960784,1.736,1.828
30,"The basin at Argenteuil, Claude Monet",database/painting/030.jpg,-0.015,0.2912,12.96648,0.345493,0.577055,0.474177,-0.328004,0.245781,0,0,-0.004776,0.059557,0.010003,0.004227,0.059579,-0.010612,-0.003784,0.057713,0.010777,0.978057,0.956814,0.949568,4.126666667,2.624666667
31,"Le Pont du chemin de fer a Argenteuil, Claude Monet",database/painting/031.jpg,-0.015,0.2912,12.222914,0.462895,0.418034,0.39028,-0.169579,0.12766,0.073857,0,-0.124276,-0.003219,-0.014846,0.28926,-0.005315,0.015257,-0.145672,0.001878,-0.015335,0.961318,0.969662,0.955492,4.563,3.7355
32,"The bridge at argenteuil, Claude Monet",database/painting/032.jpg,-0.015,0.2912,12.646709,0.320457,0.471797,0.39604,-0.256019,0.205603,0.843098,0,0.000613,-0.004564,0.00149,-0.000602,-0.004585,-0.0015,0.000602,-0.003969,0.0015,0.984904,0.982481,0.976887,5.482666667,2.095833333
33,"Poppy Field, Claude Monet",database/painting/033.jpg,-0.015,0.2912,18.541876,0.34764,0.623337,0.506583,-0.362491,0,0,0,-0.001355,-0.002681,0.000587,0.001519,-0.002664,-0.00019,-0.001357,-0.001919,-0.000019,0.981501,0.926192,0.941866,2.509666667,4.701166667
34,"Cliffs of Les Petites-Dalles, Claude Monet",database/painting/034.jpg,-0.981024,-0.18702,4.423922,0.231178,0.640448,0.492768,-0.412764,0.40635,0,0,-0.004329,0.002773,0.002612,0.004598,0.004204,-0.002787,-0.004673,0.004543,0.002872,0.96986,0.966003,0.972014,3.053666667,4.747
35,"Garden at Sainte-Adresse, Claude Monet",database/painting/035.jpg,-0.015,0.2912,11.431046,0.345466,0.422217,0.367332,-0.210336,0.382763,0.881691,0.127921,-0.000312,0,0,0.000165,0,0,0.00015,0,0,0.978423,0.937547,0.936531,5.904,2.885
36,"The Garden at Argenteuil, Claude Monet",database/painting/036.jpg,-0.797139,-0.92758,27.408567,0.559044,0.437237,0.424683,-0.153406,0,0,0,0.174977,0.078156,0.007071,0.147058,0.078082,-0.006966,-0.316856,0.079133,0.005846,0.982686,0.955709,0.953788,2.885333333,3.467666667
37,"The Water-Lily Pond, Claude Monet",database/painting/037.jpg,-0.519004,-0.063151,21.134098,0.4413,0.510735,0.449493,-0.246943,2.96248,0.045779,0.02492,-0.00568,0.004716,0.015969,0.004619,0.006244,-0.015666,-0.002966,0.006777,0.016049,0.992744,0.986434,0.986834,8.172,7.069
38,"The Bay of Marseilles, view from L'Estaque, Paul Cezanne",database/painting/038.jpg,0.742781,-1.018247,29.404892,0.428865,0.66915,0.556064,-0.371317,0.426719,0,0.061828,0.000088,-0.000248,0.000318,-0.000098,0.000172,-0.000159,0.000013,0.000078,-0.000159,0.983154,0.947426,0.943657,5.751333333,6.149333333
39,"Die Brucke von Langlois in Arles mit Wascherinnen, Gogh",database/painting/039.jpg,-0.015,0.2912,33.519165,0.50169,0.579225,0.510037,-0.27967,3.216696,0.623674,1.004458,-0.000673,-0.01906,-0.001291,0.000706,-0.018836,0.001092,-0.000672,-0.018486,-0.000967,0.984602,0.971052,0.966125,5.927333333,2.686
40,"Terrasse des Cafes an der Place du Forum in Arles am Abend, Gogh",database/painting/040.jpg,-0.015,0.2912,30.378651,0.506359,0.503376,0.458728,-0.22053,1.573234,2.830839,0.939574,-0.022402,0.029685,0.011221,0.020698,0.029739,-0.011059,-0.019681,0.036693,0.010209,0.980055,0.966255,0.967302,8.954,2.425
